tx_id,tx_size,tx_fee
68369,734,9751
55519,250,6826
59969,700,5618
94359,989,5418
86823,431,3619
10825,997,7984
65801,558,2795
91085,118,5816
18678,792,137
46531,660,5440
77801,446,4271
21746,348,5194
28289,521,8358
24196,244,9385
07268,973,4832
26047,854,7406
08681,582,715
00476,452,2045
57296,834,655
20316,698,9758
49778,496,9583
32665,801,6638
68718,496,9956
02244,441,8196
42847,280,2821
65706,295,3972
57697,611,1203
07527,858,1675
56417,125,6010
99972,387,9154
85377,498,9484
69264,507,3522
86782,491,9012
58836,673,8141
27548,911,6423
08415,846,758
58858,985,6429
27338,699,6648
37326,810,3947
20579,173,3327
87202,945,1589
97446,875,5937
17577,167,9138
89908,987,7856
14862,160,4238
51082,954,5647
08851,479,6623
96080,862,7945
50099,659,5255
01522,983,2174
11237,668,4575
16219,636,5923
70144,906,2758
27585,323,2591
47706,871,7028
62246,861,6834
46659,436,3333
76485,419,7202
80865,894,8919
45122,605,3836
61809,411,4658
55618,941,5038
15514,232,9625
99328,266,2163
09511,233,7434
97301,605,6937
22344,661,7335
60159,708,5594
59066,32,6985
33006,139,273
83714,7,842
83149,228,4194
05403,462,1141
20968,581,2576
79060,44,6575
37446,329,4422
87579,525,646
84451,924,2521
57342,753,8847
34219,31,2160
04700,847,314
54954,394,6044
96842,277,4510
10406,418,3069
80428,420,7568
82842,256,5466
32620,202,597
18949,946,3838
36431,734,4891
04545,872,7633
30531,72,9838
80462,34,6228
47687,573,5249
44996,398,7385
90966,790,276
09347,99,9974
23955,797,6355
82769,546,1630
46707,469,7096
87504,26,7434
80105,969,5413
50269,460,1612
60424,960,2064
31998,501,729
77620,227,9176
56365,852,9302
53710,992,9295
18845,465,8742
76319,656,173
27933,740,3869
58865,359,6909
15829,702,4379
50131,901,3186
89072,485,4203
00662,11,3737
21000,585,3432
69874,688,5047
67651,95,673
91944,785,1565
74147,482,2027
85481,404,8506
66185,124,3760
06762,563,1023
66347,504,19
10468,33,5555
20567,915,3555
48138,298,7849
80078,270,1924
99618,83,2063
62739,113,9623
64120,309,7889
40493,460,6836
31181,972,9476
69607,347,5706
72832,453,6120
07052,157,4001
20991,585,6969
52069,7,842
22248,132,8492
28169,34,4712
68528,781,7906
78563,196,4225
15172,725,6779
54873,858,8325
91143,91,6926
27267,248,8766
62713,868,7413
19957,160,6880
74488,980,2850
29725,158,7503
54958,764,2123
50771,859,683
87977,643,729
38355,826,9919
29713,101,4592
77462,987,8325
53943,33,2299
49626,393,2775
74729,511,7134
69927,54,733
60337,42,7942
29517,485,2927
81065,401,4436
19691,842,2984
83070,109,3174
36868,496,5079
34146,863,2094
05148,921,1310
54973,961,7331
21567,35,1399
47721,767,595
03171,607,4601
10517,651,9777
08241,350,5561
38859,539,6926
48878,593,7905
77817,794,8397
03363,337,7219
15240,986,5668
46468,263,3003
62721,274,207
27932,430,6333
17285,83,5568
92653,992,2221
20785,234,8266
97263,824,7820
00217,618,578
25820,538,2947
60144,307,3050
24290,871,4185
49993,927,6919
47712,568,3794
